room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,rooms_per_host,population,city_size,log_price
Private room,Antwerpen,Kapellen,32,4.5,1,1,41,51.340134,4.4009,4,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,32,5,2,1,41,51.215663,4.428371,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,1,NA,2,1,24,51.197889,4.425578,1,459805,large,3.1780538303479458
Private room,Antwerpen,Ranst,4,5,2,1,41,51.203844,4.587651,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,0,NA,2,1,34,51.218308,4.425526,1,459805,large,3.5263605246161616
Private room,Antwerpen,Antwerpen,1,NA,2,1,30,51.224435,4.436289,2,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,2,NA,2,1,31,51.209188,4.451579,2,459805,large,3.4339872044851463
Private room,Antwerpen,Antwerpen,6,3.5,4,1,41,51.221608,4.439811,5,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,9,4.5,2,1,41,51.212158,4.442123,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,9,4.5,4,1,30,51.22685,4.419121,1,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,2,NA,2,1,30,51.222325,4.436743,2,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,155,5,2,1,41,51.220602,4.42486,3,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,0,NA,2,1,40,51.197314,4.422358,1,459805,large,3.6888794541139363
Private room,Antwerpen,Antwerpen,9,4.5,3,1,41,51.217241,4.443382,2,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,24,4.5,2,1,34,51.220127,4.436912,5,459805,large,3.5263605246161616
Private room,Antwerpen,Antwerpen,57,4.5,2,1,35,51.211337,4.440732,3,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,99,4.5,6,1,41,51.21096,4.441966,3,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,104,4.5,2,1,25,51.20586,4.430769,1,459805,large,3.2188758248682006
Private room,Antwerpen,Antwerpen,4,5,3,1,41,51.21376,4.436368,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,1,NA,2,1,24,51.220397,4.426431,1,459805,large,3.1780538303479458
Private room,Antwerpen,Antwerpen,7,4.5,1,1,34,51.213823,4.442421,2,459805,large,3.5263605246161616
Private room,Antwerpen,Antwerpen,8,4.5,2,1,27,51.219055,4.429117,1,459805,large,3.295836866004329
Private room,Antwerpen,Antwerpen,109,4.5,2,1,41,51.207551,4.431754,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,69,4.5,7,1,40,51.209756,4.435821,1,459805,large,3.6888794541139363
Private room,Antwerpen,Antwerpen,37,5,2,1,41,51.200586,4.433059,1,459805,large,3.713572066704308
Private room,Antwerpen,Ranst,8,5,3,1,39,51.208912,4.538936,1,459805,large,3.6635616461296463
Private room,Antwerpen,Antwerpen,13,4.5,1,1,35,51.225934,4.426868,1,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,91,4.5,1,1,34,51.221696,4.432153,1,459805,large,3.5263605246161616
Private room,Antwerpen,Antwerpen,17,5,2,1,40,51.210548,4.462336,1,459805,large,3.6888794541139363
Private room,Antwerpen,Antwerpen,0,NA,2,1,24,51.199165,4.427454,1,459805,large,3.1780538303479458
Private room,Antwerpen,Antwerpen,0,NA,2,1,33,51.222899,4.46872,1,459805,large,3.4965075614664802
Private room,Antwerpen,Antwerpen,3,5,2,1,35,51.258347,4.434479,1,459805,large,3.5553480614894135
Private room,Antwerpen,Malle,65,5,2,0,35,51.313794,4.732126,1,459805,large,3.5553480614894135
Private room,Turnhout,Lille,0,NA,1,1,24,51.26094,4.793907,1,39654,small,3.1780538303479458
Private room,Halle-Vilvoorde,Vilvoorde,4,5,2,1,35,50.927341,4.442507,1,NA,NA,3.5553480614894135
Private room,Antwerpen,Antwerpen,1,NA,2,1,19,51.201595,4.398988,1,459805,large,2.9444389791664403
Private room,Antwerpen,Antwerpen,1,NA,1,1,35,51.206592,4.406254,1,459805,large,3.5553480614894135
Private room,Leuven,Leuven,0,NA,2,0,35,50.877236,4.705801,6,92892,small,3.5553480614894135
Private room,Antwerpen,Antwerpen,19,4.5,2,1,41,51.230076,4.452895,2,459805,large,3.713572066704308
Private room,Leuven,Leuven,0,NA,1,1,24,50.883299,4.709889,2,92892,small,3.1780538303479458
Private room,Mechelen,Mechelen,0,NA,1,1,30,51.022257,4.48108,1,77530,small,3.4011973816621555
Private room,Antwerpen,Antwerpen,42,4.5,2,1,31,51.226234,4.436591,4,459805,large,3.4339872044851463
Private room,Brussel,Jette,9,5,4,1,35,50.890305,4.314278,1,1019022,large,3.5553480614894135
Private room,Leuven,Leuven,13,4.5,1,1,10,50.884978,4.70471,1,92892,small,2.302585092994046
Private room,Antwerpen,Antwerpen,1,NA,2,1,35,51.225032,4.418832,2,459805,large,3.5553480614894135
Private room,Leuven,Leuven,0,NA,2,1,30,50.877376,4.707672,6,92892,small,3.4011973816621555
Private room,Antwerpen,Kapellen,5,4,1,2,34,51.316356999999996,4.430709,1,459805,large,3.5263605246161616
Private room,Brussel,Jette,49,4.5,1,1,34,50.870496,4.338069,1,1019022,large,3.5263605246161616
Private room,Brussel,Brussel,13,5,2,1,31,50.862868,4.346993,1,1019022,large,3.4339872044851463
Private room,Brussel,Brussel,40,4.5,1,1,26,50.879866,4.382524,1,1019022,large,3.258096538021482
Private room,Brussel,Schaarbeek,88,4.5,1,1,40,50.865572,4.360983,1,1019022,large,3.6888794541139363
Private room,Mechelen,Puurs,0,NA,2,1,41,51.08709,4.325915,1,77530,small,3.713572066704308
Private room,Mechelen,Mechelen,21,4.5,2,1,41,51.030402,4.472163,1,77530,small,3.713572066704308
Private room,Brussel,Jette,7,5,2,1,33,50.891041,4.313574,1,1019022,large,3.4965075614664802
Private room,Antwerpen,Antwerpen,27,4.5,2,1,41,51.20873,4.43312,1,459805,large,3.713572066704308
Private room,Antwerpen,Antwerpen,24,5,2,1,35,51.216273,4.414129,2,459805,large,3.5553480614894135
Private room,Brussel,Schaarbeek,0,NA,1,1,24,50.862568,4.372282,1,1019022,large,3.1780538303479458
Private room,Antwerpen,Antwerpen,8,5,2,1,35,51.200105,4.39175,4,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,29,4.5,4,1,30,51.209494,4.403371,2,459805,large,3.4011973816621555
Private room,Antwerpen,Antwerpen,0,NA,2,1,39,51.214726,4.402239,1,459805,large,3.6635616461296463
Private room,Antwerpen,Boom,0,NA,6,2,35,51.086648,4.363615,3,459805,large,3.5553480614894135
Private room,Antwerpen,Antwerpen,0,NA,2,1,24,51.208887,4.40388,1,459805,large,3.1780538303479458
Private room,Brussel,Evere,61,4.5,2,1,25,50.877726,4.405443,1,1019022,large,3.2188758248682006
Private room,Brussel,Brussel,7,4.5,2,1,30,50.891337,4.385513,2,1019022,large,3.4011973816621555
Private room,Turnhout,Herentals,2,NA,2,1,35,51.177433,4.832395,3,39654,small,3.5553480614894135
Private room,Antwerpen,Antwerpen,55,4.5,2,1,32,51.221164,4.40562,2,459805,large,3.4657359027997265
Private room,Halle-Vilvoorde,Meise,17,5,2,1,35,50.962351,4.29066,2,NA,NA,3.5553480614894135
